Anim	Standing	Active	Lying	%HeadDown	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123	X_Act	Y_Act	Steps	distance(m)	VarXY	DiffXY	MeanXY	prev_Active1	prev_Active2	prev_Active3	prev_Standing1	prev_Standing2	prev_Standing3	prev_Lying1	prev_Lying2	prev_Lying3	prev_steps1	prev_steps2	prev_steps3	prev_headdown1	prev_headdown2	prev_headdown3	Activity
a1	0.7572	0.2428	0	44	178.7	24.4	8.3	371.7	393.9	26.9	3.6	31.8	53.9	87.3	74	87	52	20.11	9.192388155425116	13	80.5	0.0674	0.0388	0.02	0.9326	0.9612	0.98	0	0	0	16	9	4	89	95	73	G
a8	0.8178	0.1822	0	39	180.9	178.8	13	296.9	470.7	48.3	50.1	60.4	55.5	68.3	81	93	40	23.84	8.48528137423857	12	87	0.2082	0.0822	0.0432	0.7918	0.9178	0.9568	0	0	0	47	18	10	79	67	41	G
a1	0.8404	0.1596	0	8	176.8	165.1	161.9	189.5	206.7	189	53.7	197.6	361.5	551.6	129	30	38	11.25	70.0035713374682	99	79.5	0.2428	0.0674	0.0388	0.7572	0.9326	0.9612	0	0	0	52	16	9	44	89	95	G
a8	0.6264	0.3736	0	23	131.4	162.7	50.5	170.7	347.7	146.6	178.3	169.3	183.1	212.1	117	63	90	19.12	38.18376618407357	54	90	0.1822	0.2082	0.0822	0.8178	0.7918	0.9178	0	0	0	40	47	18	39	79	67	G
a1	0.9092	0.0908	0	1	168.9	172.1	38.4	178.7	339.1	193.2	194.5	192.1	199.3	220.7	32	135	20	3.81	72.8319984622144	103	83.5	0.1596	0.2428	0.0674	0.8404	0.7572	0.9326	0	0	0	38	52	16	8	44	89	G
a8	0.786	0.214	0	21	5.1	126.7	187.9	135.1	210.1	144.7	129.8	166.8	240.8	356.1	20	39	50	55.05	13.435028842544405	19	29.5	0.3736	0.1822	0.2082	0.6264	0.8178	0.7918	0	0	0	90	40	47	23	39	79	R
a1	0.9074	0.0926	0	0	156.7	166	113.8	184.8	402	11.6	180.7	50.2	192.5	347.2	43	2	21	10.07	28.991378028648448	41	22.5	0.0908	0.1596	0.2428	0.9092	0.8404	0.7572	0	0	0	20	38	52	1	8	44	G
a8	0.9084	0.0916	0	23	171.9	168.1	167.9	175.7	176.9	5.5	129.4	148.7	131.1	167.5	24	25	20	1.71	0.7071067811865476	1	24.5	0.214	0.3736	0.1822	0.786	0.6264	0.8178	0	0	0	50	90	40	21	23	39	R
a1	0.9012	0.0988	0	0	44.5	204	39.4	216	390.2	218.7	41.3	184.9	425.4	600.2	73	4	20	1.41	48.79036790187178	69	38.5	0.0926	0.0908	0.1596	0.9074	0.9092	0.8404	0	0	0	21	20	38	0	1	8	G
a1	0.9358	0.0642	0	1	173.5	183.4	172.8	201.9	235.8	204.6	207.6	170.2	215.1	258	132	10	14	9.87	86.2670273047588	122	71	0.0988	0.0926	0.0908	0.9012	0.9074	0.9092	0	0	0	20	21	20	0	0	1	G
a8	0.843	0.157	0	8	1.6	170.3	175.5	171.6	176.9	172	155.3	155	242.1	245.1	19	21	39	3.7	1.4142135623730951	2	20	0.0916	0.214	0.3736	0.9084	0.786	0.6264	0	0	0	20	50	90	23	21	23	R
a8	0.9148	0.0852	0	51	159.4	148.8	32.6	184.3	358.2	141.5	108.1	124.3	366.7	568.7	36	41	21	24.98	3.5355339059327378	5	38.5	0.157	0.0916	0.214	0.843	0.9084	0.786	0	0	0	39	20	50	8	23	21	G
a1	0.9196	0.0804	0	13	39.5	221.4	37.8	239.2	441.5	18.3	39.1	23.7	41.1	59.2	68	58	17	2.88	7.0710678118654755	10	63	0.0642	0.0988	0.0926	0.9358	0.9012	0.9074	0	0	0	14	20	21	1	0	0	G
