Anim	Standing	Active	Lying	%HeadDown	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123	X_Act	Y_Act	Steps	distance(m)	VarXY	DiffXY	MeanXY	prev_Active1	prev_Active2	prev_Active3	prev_Standing1	prev_Standing2	prev_Standing3	prev_Lying1	prev_Lying2	prev_Lying3	prev_steps1	prev_steps2	prev_steps3	prev_headdown1	prev_headdown2	prev_headdown3	Activity
a6	0.8854	0.1146	0	56	2.2	170.8	24.8	175.2	368.7	159.6	172.1	217.8	244.2	292.1	84	16	22	15.17	48.08326112068523	68	50	0.1898	0.1858	0.085	0.8102	0.8142	0.915	0	0	0	42	43	19	41	11	61	G
a14	0.8224	0.1776	0	93	192.1	25	15.2	367.2	387.1	20.8	171.8	41	190.6	359.6	172	8	32	11.5	115.9655121145938	164	90	0.2022	0.1896	0.115	0.7978	0.8104	0.885	0	0	0	45	34	24	69	70	81	G
a14	0.848	0.152	0	65	55.2	40	26.8	71.2	116.1	25.8	50.5	167.1	52.4	218.9	138	9	31	15.72	91.21677477306464	129	73.5	0.1776	0.2022	0.1896	0.8224	0.7978	0.8104	0	0	0	32	45	34	93	69	70	G
a11	0.8504	0.1496	0	80	74.4	43	77.8	105.8	140.8	234.9	5	156.5	473.4	632.8	104	19	25	4.01	60.10407640085654	85	61.5	0.1818	0.2588	0.3008	0.8182	0.7412	0.6992	0	0	0	37	46	53	84	89	83	G
a6	0.9104	0.0896	0	17	14.6	80.9	27.1	98.2	155.4	87.6	172.3	2.6	296.3	470.7	100	25	19	2.56	53.033008588991066	75	62.5	0.1146	0.1898	0.1858	0.8854	0.8102	0.8142	0	0	0	22	42	43	56	41	11	G
a14	0.826	0.174	0	96	32	161	168.5	200.7	268.8	74	29.2	99.2	119	189.1	183	10	35	26.79	122.32947314527271	173	96.5	0.152	0.1776	0.2022	0.848	0.8224	0.7978	0	0	0	31	32	45	65	93	69	G
a6	0.8664	0.1336	0	39	36.4	89	136.5	151.8	306.9	159.4	219.3	162.6	226.4	291	88	14	31	10.46	52.32590180780452	74	51	0.0896	0.1146	0.1898	0.9104	0.8854	0.8102	0	0	0	19	22	42	17	56	41	G
a11	0.8822	0.1178	0	96	29.2	10.1	162.5	66.6	227.3	75	75.3	22.1	76.5	135.8	134	6	21	4.19	90.50966799187808	128	70	0.1496	0.1818	0.2588	0.8504	0.8182	0.7412	0	0	0	25	37	46	80	84	89	G
a6	0.6832	0.3168	0	28	43.5	194.9	200.6	236.2	274.8	3.4	155	72.2	158.1	280.9	92	11	74	34.45	57.27564927611035	81	51.5	0.1336	0.0896	0.1146	0.8664	0.9104	0.8854	0	0	0	31	19	22	39	17	56	G
a11	0.7268	0.2732	0	90	45	146.1	25.8	221.6	391.5	15.9	40	17.9	71.2	97	168	38	53	15.71	91.92388155425118	130	103	0.1178	0.1496	0.1818	0.8822	0.8504	0.8182	0	0	0	21	25	37	96	80	84	G
a14	0.8084	0.1916	0	95	16.5	23.4	6.8	27.6	53.9	139.5	23.4	21.1	278.9	321	135	10	38	14.62	88.38834764831844	125	72.5	0.174	0.152	0.1776	0.826	0.848	0.8224	0	0	0	35	31	32	96	65	93	G
a6	0.7538	0.2462	0	4	62.6	2.7	2.5	124.2	126.3	84.4	67	42.6	129.1	205.3	96	4	61	45.65	65.05382386916237	92	50	0.3168	0.1336	0.0896	0.6832	0.8664	0.9104	0	0	0	74	31	19	28	39	17	R
a14	0.9508	0.0492	0	89	43.6	14.3	57.6	101.3	157.3	17.5	148.7	48.1	183.6	350.9	162	18	8	7.79	101.82337649086284	144	90	0.1916	0.174	0.152	0.8084	0.826	0.848	0	0	0	38	35	31	95	96	65	G
a11	0.733	0.267	0	82	212	163.6	213.3	268.6	336.8	162.7	37.6	23	343.4	362.6	140	22	46	6.16	83.43860018001261	118	81	0.2732	0.1178	0.1496	0.7268	0.8822	0.8504	0	0	0	53	21	25	90	96	80	G
a14	0.9246	0.0754	0	85	52.8	146	149.5	243.8	247.6	163.5	151.3	4.6	193.6	340.4	158	20	14	6	97.58073580374356	138	89	0.0492	0.1916	0.174	0.9508	0.8084	0.826	0	0	0	8	38	35	89	95	96	G
a11	0.8374	0.1626	0	67	10	165	159	174.4	244.1	15.5	43.7	49.4	70.4	76.1	177	43	30	5.4	94.75230867899737	134	110	0.267	0.2732	0.1178	0.733	0.7268	0.8822	0	0	0	46	53	21	82	90	96	G
a11	0.727	0.273	0	63	35.2	30.6	6.4	40.8	74.8	162.2	153.5	167.4	171.9	185.8	182	26	52	6.46	110.3086578651014	156	104	0.1626	0.267	0.2732	0.8374	0.733	0.7268	0	0	0	30	46	53	67	82	90	G
a6	0.7376	0.0858	0.1766	14	167.7	164.2	182.2	206.2	226.4	7.7	88.3	4.6	98.6	188.5	6	13	20	4.53	4.949747468305833	7	9.5	0.2462	0.3168	0.1336	0.7538	0.6832	0.8664	0	0	0	61	74	31	4	28	39	R
a14	0.9756	0.0244	0	97	36.4	145.8	148.7	162	167.5	40.2	148.6	147.5	206.3	211.5	146	5	3	1.79	99.7020561473032	141	75.5	0.0754	0.0492	0.1916	0.9246	0.9508	0.8084	0	0	0	14	8	38	85	89	95	G
a6	0.883	0.117	0	29	189	37	45.6	365.8	378.5	172.4	35.2	55.4	362.5	386.9	30	23	26	11.27	4.949747468305833	7	26.5	0.0858	0.2462	0.3168	0.7376	0.7538	0.6832	0.1766	0	0	20	61	74	14	4	28	G
a11	0.813	0.187	0	68	47.1	174.9	149.4	233.5	259.4	34.1	39.1	6.4	39.6	74.8	177	31	34	6.43	103.23759005323592	146	104	0.273	0.1626	0.267	0.727	0.8374	0.733	0	0	0	52	30	46	63	67	82	G
a14	0.907	0.093	0	94	146.9	158.8	4.6	177	340.4	197	148.3	195.9	265.2	321.9	123	16	19	6.08	75.66042558696059	107	69.5	0.0244	0.0754	0.0492	0.9756	0.9246	0.9508	0	0	0	3	14	8	97	85	89	G
a11	0.607	0.333	0.06	69	177	189.6	193.2	211.9	236	39.3	162.7	50.3	170.7	317.3	209	50	64	18.92	112.42997820866104	159	129.5	0.187	0.273	0.1626	0.813	0.727	0.8374	0	0	0	34	52	30	68	63	67	R
a14	0.7466	0.2534	0	78	38.1	12.9	45.9	88.9	147.1	171.1	140.7	149.7	230.6	243.4	122	14	59	8.67	76.36753236814714	108	68	0.093	0.0244	0.0754	0.907	0.9756	0.9246	0	0	0	19	3	14	94	97	85	G
a14	0.9376	0.0624	0	89	32.5	7.1	199.3	72.1	270	6.2	6.4	56.1	11.1	64.1	52	137	13	39.72	60.10407640085654	85	94.5	0.2534	0.093	0.0244	0.7466	0.907	0.9756	0	0	0	59	19	3	78	94	97	R
a11	0.1602	0.067	0.7726	18	89.8	72.6	85	109.2	136.3	69	183.4	45.9	266.9	442.2	77	22	9	6.29	38.890872965260115	55	49.5	0.333	0.187	0.273	0.607	0.813	0.727	0.06	0	0	64	34	52	69	68	63	R
a11	0.0096	0.0112	0.9792	5	57.3	60.2	47.2	89.2	114.9	83.6	80.9	6.7	98.2	185.7	43	10	1	2.54	23.33452377915607	33	26.5	0.067	0.333	0.187	0.1602	0.607	0.813	0.7726	0.06	0	9	64	34	18	69	68	R
a11	0.087	0.0524	0.8604	23	40.2	37.4	162.9	76.6	202.2	166.1	166.1	53.4	171.3	336.6	46	9	8	1.81	26.16295090390226	37	27.5	0.0112	0.067	0.333	0.0096	0.1602	0.607	0.9792	0.7726	0.06	1	9	64	5	18	69	R
a11	0.0016	0.0024	0.9958	8	167	72.4	169.9	324.6	485.4	1.1	4.5	167.9	5	176.9	23	5	0	1.64	12.727922061357855	18	14	0.0524	0.0112	0.067	0.087	0.0096	0.1602	0.8604	0.9792	0.7726	8	1	9	23	5	18	R
a11	0.002	0.0112	0.9866	2	31.4	4.4	2	66.4	71.7	74.4	228.9	78.6	309.3	547.8	14	2	2	4	8.48528137423857	12	8	0.0024	0.0524	0.0112	0.0016	0.087	0.0096	0.9958	0.8604	0.9792	0	8	1	8	23	5	R
a11	0.117	0.0572	0.8258	19	72.3	81.7	167	103.1	271.8	191.9	83	166.6	363.9	528.5	57	26	9	5.12	21.920310216782973	31	41.5	0.0112	0.0024	0.0524	0.002	0.0016	0.087	0.9866	0.9958	0.8604	2	0	8	2	8	23	R
a11	0	0	1	83	189.9	168.3	82.7	216.6	384.7	165.8	3.4	8.9	332.2	339.4	15	3	0	2.66	8.48528137423857	12	9	0.0572	0.0112	0.0024	0.117	0.002	0.0016	0.8258	0.9866	0.9958	9	2	0	19	2	8	R
a11	0.2284	0.1082	0.6632	78	169.2	179.9	165.5	189.5	212.5	86.7	195.9	169.2	290.1	317.3	20	2	18	3.33	12.727922061357855	18	11	0	0.0572	0.0112	0	0.117	0.002	1	0.8258	0.9866	0	9	2	83	19	2	R
a11	0.43	0.2576	0.3124	10	45.9	169.7	67	190.6	351.9	33.1	168	1.7	176.7	346.3	66	28	39	3.11	26.87005768508881	38	47	0.1082	0	0.0572	0.2284	0	0.117	0.6632	1	0.8258	18	0	9	78	83	19	R
